,HODBIN2,DATE,station_id,WEEKDAY,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
102,0,10/17/2019,50 ST-1,Thursday,40.761675,-73.983908,4855.0,1695.0
103,0,10/17/2019,50 ST-CE,Thursday,40.762439,-73.985989,4312.0,1888.0
104,0,10/17/2019,50 ST-D,Thursday,40.636232,-73.994765,155.0,381.0
105,0,10/17/2019,51 ST-6,Thursday,40.757108,-73.97187,2550.0,969.0
106,0,10/17/2019,57 ST-7 AV-NQRW,Thursday,40.764755,-73.980646,2660.0,745.0
107,0,10/17/2019,57 ST-F,Thursday,40.763625,-73.977449,3413.0,1083.0
108,0,10/17/2019,59 ST COLUMBUS-1ABCD,Thursday,40.76811,-73.981891,11998.0,3987.0
109,0,10/17/2019,59 ST-456NQRW,Thursday,40.762796,-73.967686,5815.0,2136.0
110,0,10/17/2019,59 ST-NRW,Thursday,40.641426,-74.017972,421.0,1069.0
111,0,10/17/2019,7 AV-BDE,Thursday,40.762877,-73.98159,2981.0,1062.0
112,0,10/17/2019,7 AV-BQ,Thursday,40.677172,-73.972514,377.0,715.0
113,0,10/17/2019,7 AV-FG,Thursday,40.666276,-73.980324,430.0,892.0
114,0,10/17/2019,GRD CNTRL-42 ST-4567S,Thursday,40.751849,-73.976945,12061.0,6598.0
115,0,10/17/2019,LEXINGTON AV/53-6EM,Thursday,40.757529999999996,-73.969102,4706.0,2342.0
116,0,10/17/2019,TIMES SQ-42 ST-1237ACENQRS,Thursday,40.755905,-73.98650400000001,3920.0,510.0
117,0,10/17/2019,TIMES SQ-42 ST-1237ACENQRSW,Thursday,40.755905,-73.98650400000001,12795.0,4246.0
118,0,10/18/2019,42 ST-BRYANT PK-7BDFM,Friday,40.754197999999995,-73.984573,8659.0,2828.0
119,0,10/18/2019,42 ST-PORT AUTH-1237ACEGNRSW,Friday,40.757303,-73.98978699999999,2758.0,727.0
120,0,10/18/2019,42 ST-PORT AUTH-1237ACENQRSW,Friday,40.757303,-73.98978699999999,7632.0,8222.0
121,0,10/18/2019,47-50 STS ROCK-BDFM,Friday,40.758652000000005,-73.981311,10390.0,2270.0
122,0,10/18/2019,49 ST-NQRW,Friday,40.760139,-73.984112,2527.0,1076.0
123,0,10/18/2019,5 AV/53 ST-EM,Friday,40.760179,-73.975196,1087.0,351.0
124,0,10/18/2019,5 AVE-7BDFM,Friday,40.753824,-73.981966,2214.0,474.0
125,0,10/18/2019,50 ST-1,Friday,40.761675,-73.983908,5353.0,1846.0
126,0,10/18/2019,50 ST-CE,Friday,40.762439,-73.985989,4853.0,2028.0
127,0,10/18/2019,50 ST-D,Friday,40.636232,-73.994765,225.0,388.0
128,0,10/18/2019,51 ST-6,Friday,40.757108,-73.97187,2614.0,1292.0
129,0,10/18/2019,57 ST-7 AV-NQRW,Friday,40.764755,-73.980646,3104.0,1042.0
130,0,10/18/2019,57 ST-F,Friday,40.763625,-73.977449,3896.0,1269.0
131,0,10/18/2019,59 ST COLUMBUS-1ABCD,Friday,40.76811,-73.981891,14386.0,4927.0
132,0,10/18/2019,59 ST-456NQRW,Friday,40.762796,-73.967686,7471.0,3037.0
133,0,10/18/2019,59 ST-NRW,Friday,40.641426,-74.017972,505.0,1110.0
134,0,10/18/2019,7 AV-BDE,Friday,40.762877,-73.98159,3422.0,1484.0
135,0,10/18/2019,7 AV-BQ,Friday,40.677172,-73.972514,547.0,932.0
136,0,10/18/2019,7 AV-FG,Friday,40.666276,-73.980324,523.0,950.0
137,0,10/18/2019,GRD CNTRL-42 ST-4567S,Friday,40.751849,-73.976945,13133.0,7962.0
138,0,10/18/2019,LEXINGTON AV/53-6EM,Friday,40.757529999999996,-73.969102,4924.0,2453.0
139,0,10/18/2019,TIMES SQ-42 ST-1237ACENQRS,Friday,40.755905,-73.98650400000001,5467.0,630.0
140,0,10/18/2019,TIMES SQ-42 ST-1237ACENQRSW,Friday,40.755905,-73.98650400000001,15137.0,6802.0
141,4,10/12/2019,42 ST-BRYANT PK-7BDFM,Saturday,40.754197999999995,-73.984573,1665.0,628.0
142,4,10/12/2019,42 ST-PORT AUTH-1237ACEGNRSW,Saturday,40.757303,-73.98978699999999,344.0,263.0
143,4,10/12/2019,42 ST-PORT AUTH-1237ACENQRSW,Saturday,40.757303,-73.98978699999999,1688.0,1647.0
144,4,10/12/2019,47-50 STS ROCK-BDFM,Saturday,40.758652000000005,-73.981311,1894.0,436.0
145,4,10/12/2019,49 ST-NQRW,Saturday,40.760139,-73.984112,564.0,132.0
146,4,10/12/2019,5 AV/53 ST-EM,Saturday,40.760179,-73.975196,44.0,133.0
147,4,10/12/2019,5 AV/59 ST-NQRW,Saturday,40.764909,-73.973372,49.0,75.0
148,4,10/12/2019,5 AVE-7BDFM,Saturday,40.753824,-73.981966,300.0,71.0
149,4,10/12/2019,50 ST-1,Saturday,40.761675,-73.983908,840.0,383.0
150,4,10/12/2019,50 ST-CE,Saturday,40.762439,-73.985989,1293.0,679.0
151,4,10/12/2019,50 ST-D,Saturday,40.636232,-73.994765,12.0,36.0
152,4,10/12/2019,51 ST-6,Saturday,40.757108,-73.97187,501.0,256.0
153,4,10/12/2019,57 ST-7 AV-NQRW,Saturday,40.764755,-73.980646,842.0,409.0
154,4,10/12/2019,57 ST-F,Saturday,40.763625,-73.977449,298.0,138.0
155,4,10/12/2019,59 ST COLUMBUS-1ABCD,Saturday,40.76811,-73.981891,2287.0,879.0
156,4,10/12/2019,59 ST-456NQRW,Saturday,40.762796,-73.967686,1106.0,462.0
157,4,10/12/2019,59 ST-NRW,Saturday,40.641426,-74.017972,106.0,336.0
158,4,10/12/2019,7 AV-BDE,Saturday,40.762877,-73.98159,424.0,276.0
159,4,10/12/2019,7 AV-BQ,Saturday,40.677172,-73.972514,79.0,114.0
160,4,10/12/2019,7 AV-FG,Saturday,40.666276,-73.980324,67.0,136.0
161,4,10/12/2019,GRD CNTRL-42 ST-4567S,Saturday,40.751849,-73.976945,1829.0,1239.0
162,4,10/12/2019,LEXINGTON AV/53-6EM,Saturday,40.757529999999996,-73.969102,730.0,460.0
