,DATE,station_id,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
120,10/12/2019,59 ST COLUMBUS-1ABCD,40.76811,-73.981891,125070.0,114330.0
121,10/12/2019,59 ST-456NQRW,40.762796,-73.967686,71169.0,71022.0
122,10/12/2019,59 ST-NRW,40.641426,-74.017972,13530.0,9384.0
123,10/12/2019,6 AV-123FLM,40.737348,-73.9969,1310.0,4695.0
124,10/12/2019,61 ST WOODSIDE-7,40.745622999999995,-73.902969,9950.0,7602.0
125,10/12/2019,63 DR-REGO PARK-MR,40.729869,-73.86161,14254.0,10972.0
126,10/12/2019,65 ST-MR,40.749663,-73.898485,1585.0,1034.0
127,10/12/2019,66 ST-LINCOLN-1,40.773424,-73.98223399999999,16854.0,27582.0
128,10/12/2019,67 AV-MR,40.726462,-73.85263,6932.0,3404.0
129,10/12/2019,68ST-HUNTER CO-6,40.768143,-73.964016,7982.0,7815.0
130,10/12/2019,69 ST-7,40.746325,-73.896403,3809.0,3925.0
131,10/12/2019,7 AV-BDE,40.762877,-73.98159,15804.0,19236.0
132,10/12/2019,7 AV-BQ,40.677172,-73.972514,4792.0,4680.0
133,10/12/2019,7 AV-FG,40.666276,-73.980324,6112.0,3769.0
134,10/12/2019,71 ST-D,40.619588,-73.99884200000001,2928.0,348.0
135,10/12/2019,72 ST-123,40.778575,-73.981912,55412.0,64228.0
136,10/12/2019,72 ST-BC,40.775545,-73.976398,6841.0,5275.0
137,10/12/2019,74 ST-BROADWAY-7EFMR,40.746655,-73.891361,7665.0,10668.0
138,10/12/2019,75 AV-EF,40.718477,-73.837223,1389.0,389.0
139,10/12/2019,75 ST-ELDERTS-JZ,40.691320000000005,-73.867135,27.0,135.0
140,10/12/2019,77 ST-6,40.773635999999996,-73.959875,24650.0,25356.0
141,10/12/2019,77 ST-R,40.629702,-74.025514,2913.0,1003.0
142,10/12/2019,79 ST-1,40.783871999999995,-73.979938,5814.0,4484.0
143,10/12/2019,79 ST-D,40.613513,-74.00064499999999,3192.0,443.0
144,10/12/2019,8 AV-ACEL,40.740388,-74.002104,33600.0,23450.0
145,10/12/2019,8 AV-N,40.635011,-74.011717,8978.0,10481.0
146,10/12/2019,8 ST-NYU-NRW,40.730348,-73.992705,5822.0,9042.0
147,10/12/2019,80 ST-A,40.679369,-73.85896,5086.0,2404.0
148,10/12/2019,81 ST-MUSEUM-BC,40.781434999999995,-73.972149,19652.0,14474.0
149,10/12/2019,82 ST-JACKSON H-7,40.747647,-73.883786,11086.0,12305.0
150,10/12/2019,85 ST-FOREST PK-J,40.692304,-73.860151,22.0,95.0
151,10/12/2019,86 ST-1,40.788844,-73.97599,12996.0,21291.0
152,10/12/2019,86 ST-456,40.779485,-73.955541,45676.0,49804.0
153,10/12/2019,86 ST-BC,40.785821999999996,-73.968952,11534.0,9850.0
154,10/12/2019,86 ST-N,40.592676000000004,-73.978243,1441.0,2045.0
155,10/12/2019,86 ST-R,40.622715,-74.028368,12206.0,9150.0
156,10/12/2019,88 ST-A,40.679857,-73.85149200000001,1486.0,575.0
157,10/12/2019,9 AV-D,40.646343,-73.994551,3234.0,836.0
158,10/12/2019,90 ST-ELMHURST-7,40.748540999999996,-73.876791,11544.0,4744.0
159,10/12/2019,96 ST-123,40.79388,-73.972363,45338.0,43886.0
